event_id,store_id,date,event_name,event_type
1,10,2023-06-10,เทศกาลเบียร์คราฟท์,food_festival
2,7,2023-07-01,งานบวช,cultural
3,11,2024-10-30,ถนนคนเดิน,market
4,17,2024-01-14,เวียนเทียน,cultural
5,14,2024-12-19,คอนเสิร์ตในสวน,concert
6,4,2023-01-11,แข่งจักรยาน,sports
7,5,2024-02-03,ตลาดนัดวันหยุด,market
8,6,2024-03-27,งาน Book Fair,book_fair
9,6,2024-11-01,งาน Job Fair,convention
10,9,2024-12-26,สัปดาห์หนังสือ,book_fair
11,19,2024-07-07,คอนเสิร์ตนักศึกษา,concert
12,16,2023-02-22,งานบวช,cultural
13,16,2024-10-15,มิวสิคเฟสติวัล,music_festival
14,18,2024-01-19,แข่งจักรยาน,sports
15,20,2024-10-22,ตลาดนัดวันหยุด,market
16,13,2023-02-01,เทศกาลของหวาน,food_festival
17,15,2024-05-23,งานดนตรีกลางแจ้ง,music_festival
18,13,2024-11-06,แข่งจักรยาน,sports
19,3,2023-09-16,งาน Startup Expo,convention
20,15,2024-02-02,เทศกาลผลไม้,food_festival
21,2,2023-01-21,งานโยคะในสวน,sports
22,16,2023-07-09,คอนเสิร์ตนักศึกษา,concert
23,13,2024-12-02,งาน Auto Expo,convention
24,10,2023-05-14,เทศกาลสงกรานต์ท้องถิ่น,cultural
25,10,2023-12-19,ตลาดสดเช้า,market
26,10,2023-09-03,เวียนเทียน,cultural
27,20,2024-10-31,นิทรรศการหนังสือ,book_fair
28,1,2024-01-01,เทศกาลผลไม้,food_festival
29,2,2023-12-02,มหกรรมหนังสือ,book_fair
30,9,2024-06-01,แข่งจักรยาน,sports
31,6,2024-06-29,งานบวช,cultural
32,1,2023-11-06,ถนนคนเดิน,market
33,19,2023-06-23,งาน Busking,concert
34,10,2024-11-21,งาน Busking,concert
35,13,2023-08-18,นิทรรศการศิลปะ,convention
36,11,2023-07-29,เทศกาลดนตรี,music_festival
37,15,2024-10-05,เทศกาลสงกรานต์ท้องถิ่น,cultural
38,8,2023-10-22,เทศกาลอาหาร,food_festival
39,1,2023-09-24,ฟุตบอลนัดพิเศษ,sports
40,3,2024-07-05,ตลาดสดเช้า,market
41,9,2024-01-27,คอนเสิร์ตนักศึกษา,concert
42,3,2024-07-22,สัปดาห์หนังสือ,book_fair
43,14,2023-07-03,ฟุตบอลนัดพิเศษ,sports
44,16,2023-02-07,มิวสิคเฟสติวัล,music_festival
45,12,2023-03-12,เทศกาลของหวาน,food_festival
46,19,2023-10-10,มหกรรมหนังสือ,book_fair
47,9,2023-03-04,ตลาดนัดวันหยุด,market
48,11,2024-08-28,เทศกาลผลไม้,food_festival
49,12,2023-05-14,เทศกาลเบียร์คราฟท์,food_festival
50,7,2023-09-14,เทศกาลเบียร์คราฟท์,food_festival
51,3,2023-05-18,เทศกาลผลไม้,food_festival
52,11,2023-02-20,งาน Book Fair,book_fair
53,1,2024-09-15,สัมมนาธุรกิจ,convention
54,4,2024-05-12,ตลาดนัดวันหยุด,market
55,17,2024-01-16,งานดนตรีกลางแจ้ง,music_festival
56,4,2023-03-13,งานวันเด็ก,cultural
57,9,2023-12-12,มิวสิคเฟสติวัล,music_festival
58,14,2024-01-06,แข่งวิ่ง Fun Run,sports
59,4,2023-03-09,งานบวช,cultural
60,2,2023-09-15,แข่งจักรยาน,sports
61,8,2023-01-19,เทศกาลของหวาน,food_festival
62,16,2023-05-02,เทศกาลของหวาน,food_festival
63,9,2024-10-28,งานวัดประจำปี,cultural
64,15,2023-03-25,งาน Job Fair,convention
65,14,2024-11-09,ตลาดสดเช้า,market
66,19,2024-03-20,คอนเสิร์ตนักศึกษา,concert
67,17,2024-09-27,ตลาดนัดวันหยุด,market
68,3,2024-11-21,คอนเสิร์ตการกุศล,concert
69,10,2023-04-29,ถนนคนเดิน,market
70,7,2024-12-01,คอนเสิร์ตนักศึกษา,concert
71,18,2024-03-25,งาน Book Fair,book_fair
72,20,2023-08-28,ตลาดนัดกลางคืน,market
73,8,2023-07-02,คอนเสิร์ตนักศึกษา,concert
74,5,2023-11-30,มิวสิคเฟสติวัล,music_festival
75,12,2023-05-27,งาน Street Food,food_festival
76,4,2024-06-23,เทศกาลดนตรี,music_festival
77,11,2023-05-08,มิวสิคเฟสติวัล,music_festival
78,8,2023-09-01,นิทรรศการหนังสือ,book_fair
79,3,2024-07-16,เทศกาลผลไม้,food_festival
80,19,2023-10-21,งานหนังสือเก่า,book_fair
81,16,2023-02-07,แข่งวิ่ง Fun Run,sports
82,20,2023-01-16,แข่งจักรยาน,sports
83,13,2024-09-26,สัปดาห์หนังสือ,book_fair
84,12,2024-12-22,คอนเสิร์ตการกุศล,concert
85,9,2024-03-14,เทศกาลแจ๊ส,music_festival
86,6,2024-11-28,กีฬาสี,sports
87,14,2023-01-28,เทศกาลอาหาร,food_festival
88,10,2023-08-05,ตลาดสดเช้า,market
89,9,2023-09-26,เทศกาลดนตรี,music_festival
90,11,2024-10-16,ตลาดนัดวินเทจ,market
91,13,2024-08-30,คอนเสิร์ตในสวน,concert
92,18,2024-12-15,งาน Auto Expo,convention
93,20,2024-10-25,งาน Street Food,food_festival
94,9,2023-05-06,งานวัดประจำปี,cultural
95,18,2024-04-14,ตลาดนัดกลางคืน,market
96,15,2023-09-20,ตลาดสดเช้า,market
97,7,2024-10-23,งานวันเด็ก,cultural
98,2,2023-11-18,เทศกาลแจ๊ส,music_festival
99,12,2024-11-13,นิทรรศการหนังสือ,book_fair
100,7,2024-09-26,งาน Book Fair,book_fair
101,11,2024-08-14,สัปดาห์หนังสือ,book_fair
102,10,2024-04-20,สัปดาห์หนังสือ,book_fair
103,15,2024-05-10,แข่งจักรยาน,sports
104,11,2024-09-18,งาน Job Fair,convention
105,4,2024-01-11,กีฬาสี,sports
106,17,2024-04-14,เทศกาลของหวาน,food_festival
107,14,2023-11-11,เทศกาลอินดี้,music_festival
108,13,2024-12-14,มหกรรมหนังสือ,book_fair
109,18,2023-03-01,ถนนคนเดิน,market
110,16,2024-01-04,ตลาดนัดวันหยุด,market
111,14,2024-01-11,ตลาดนัดกลางคืน,market
112,8,2024-10-24,เทศกาลสงกรานต์ท้องถิ่น,cultural
113,13,2023-08-09,งาน Book Fair,book_fair
114,14,2024-12-05,ตลาดนัดวินเทจ,market
115,3,2023-07-14,ตลาดนัดวินเทจ,market
116,18,2024-06-06,เทศกาลผลไม้,food_festival
117,11,2023-05-16,คอนเสิร์ตในสวน,concert
118,4,2024-03-16,เวียนเทียน,cultural
119,10,2023-01-07,เทศกาลอินดี้,music_festival
120,1,2023-05-30,สวดมนต์ข้ามปี,cultural
121,2,2023-05-21,ตลาดนัดวันหยุด,market
122,2,2024-06-02,สัปดาห์หนังสือ,book_fair
123,19,2023-10-01,วิ่งมาราธอน,sports
124,2,2023-08-20,งานวัดประจำปี,cultural
125,12,2023-06-21,ฟุตบอลนัดพิเศษ,sports
126,9,2023-08-22,งานดนตรีสด,concert
127,11,2024-08-02,งาน Job Fair,convention
128,10,2023-01-20,คอนเสิร์ตการกุศล,concert
129,15,2024-04-26,คอนเสิร์ตในสวน,concert
130,2,2024-10-03,งาน Street Food,food_festival
131,14,2023-09-17,แข่งวิ่ง Fun Run,sports
132,1,2023-04-23,งาน Tech Conference,convention
133,5,2023-12-20,งาน Busking,concert
134,11,2023-01-06,เวียนเทียน,cultural
135,19,2024-01-12,งาน Tech Conference,convention
136,8,2023-06-02,เทศกาลสงกรานต์ท้องถิ่น,cultural
137,12,2023-01-24,สวดมนต์ข้ามปี,cultural
138,17,2024-05-06,งานวัดประจำปี,cultural
139,5,2023-02-02,งาน Startup Expo,convention
140,14,2024-10-06,ตลาดนัดกลางคืน,market
141,9,2024-03-24,ถนนคนเดิน,market
142,3,2024-03-26,ตลาดนัดกลางคืน,market
143,1,2024-02-04,งานหนังสือเก่า,book_fair
144,11,2023-01-31,งานโยคะในสวน,sports
145,15,2024-12-01,สัมมนาธุรกิจ,convention
146,17,2024-01-01,เทศกาลลอยกระทง,cultural
147,18,2024-04-11,คอนเสิร์ตในสวน,concert
148,19,2024-02-01,งานโยคะในสวน,sports
149,10,2023-10-09,นิทรรศการหนังสือ,book_fair
150,1,2024-02-20,ตลาดสดเช้า,market
151,13,2023-03-28,สัมมนาธุรกิจ,convention
152,17,2024-11-20,งานวัดประจำปี,cultural
153,20,2024-03-26,เทศกาลเบียร์คราฟท์,food_festival
154,12,2023-08-22,งานวัดประจำปี,cultural
155,10,2023-09-04,ตลาดนัดวันหยุด,market
156,3,2024-09-02,กีฬาสี,sports
157,16,2024-09-24,กีฬาสี,sports
158,15,2024-09-13,สวดมนต์ข้ามปี,cultural
159,4,2023-11-01,เทศกาลอาหาร,food_festival
160,14,2023-06-20,แข่งวิ่ง Fun Run,sports
161,19,2023-07-31,งาน Startup Expo,convention
162,5,2023-08-04,งานโยคะในสวน,sports
163,8,2023-12-12,งานหนังสือเก่า,book_fair
164,12,2024-08-16,เทศกาลเบียร์คราฟท์,food_festival
165,18,2023-08-28,เทศกาลอาหาร,food_festival
166,2,2024-08-28,เทศกาลกาแฟ,food_festival
167,20,2023-11-11,สวดมนต์ข้ามปี,cultural
168,13,2023-03-14,ตลาดสดเช้า,market
169,8,2023-12-19,ตลาดนัดวินเทจ,market
170,19,2023-07-04,งานบวช,cultural
171,13,2023-01-06,ตลาดนัดชุมชน,market
172,13,2024-07-06,งานวันเด็ก,cultural
173,15,2023-08-18,เทศกาลอาหาร,food_festival
174,15,2023-10-22,งานวันเด็ก,cultural
175,16,2023-01-18,นิทรรศการศิลปะ,convention
176,11,2023-01-19,งานหนังสือเก่า,book_fair
177,13,2023-07-10,สัปดาห์หนังสือ,book_fair
178,5,2023-04-20,งานดนตรีสด,concert
179,15,2024-01-01,สัปดาห์หนังสือ,book_fair
180,15,2023-10-25,เทศกาลอาหาร,food_festival
181,20,2023-01-17,งานโยคะในสวน,sports
182,2,2024-06-02,เทศกาลผลไม้,food_festival
183,17,2023-12-05,งาน Startup Expo,convention
184,15,2023-03-24,งานวันเด็ก,cultural
185,19,2024-10-17,เทศกาลผลไม้,food_festival
186,15,2023-10-04,ตลาดสดเช้า,market
187,1,2024-05-15,แข่งวิ่ง Fun Run,sports
188,2,2024-01-12,งานวัดประจำปี,cultural
189,1,2023-04-14,เวียนเทียน,cultural
190,7,2024-08-14,เทศกาลดนตรี,music_festival
191,5,2024-07-02,ถนนคนเดิน,market
192,7,2024-03-14,เทศกาลดนตรี,music_festival
193,17,2023-12-09,สัมมนาธุรกิจ,convention
194,10,2024-08-03,ตลาดนัดกลางคืน,market
195,13,2024-09-05,คอนเสิร์ตนักศึกษา,concert
196,5,2023-03-01,เทศกาลลอยกระทง,cultural
197,3,2024-06-18,มิวสิคเฟสติวัล,music_festival
198,8,2024-06-11,เทศกาลแจ๊ส,music_festival
199,6,2024-06-21,ฟุตบอลนัดพิเศษ,sports
200,2,2024-07-27,เทศกาลอาหาร,food_festival
201,12,2023-03-21,เทศกาลสงกรานต์ท้องถิ่น,cultural
202,9,2023-09-13,วิ่งมาราธอน,sports
203,5,2024-03-27,เทศกาลของหวาน,food_festival
204,16,2023-02-14,งานดนตรีกลางแจ้ง,music_festival
205,10,2024-06-17,เทศกาลผลไม้,food_festival
206,7,2023-08-14,วิ่งมาราธอน,sports
207,16,2024-08-03,ตลาดสดเช้า,market
208,18,2023-09-29,งานวัดประจำปี,cultural
209,17,2024-12-26,งานบวช,cultural
210,6,2023-03-08,ตลาดสดเช้า,market
211,1,2024-06-25,สัปดาห์หนังสือ,book_fair
212,2,2023-01-28,งาน Job Fair,convention
213,5,2023-12-14,นิทรรศการหนังสือ,book_fair
214,6,2024-07-13,แข่งจักรยาน,sports
215,19,2023-05-07,คอนเสิร์ตนักศึกษา,concert
216,1,2024-03-23,วิ่งมาราธอน,sports
217,15,2023-12-20,งานโยคะในสวน,sports
218,16,2023-07-29,เทศกาลแจ๊ส,music_festival
219,20,2024-09-16,เวียนเทียน,cultural
220,8,2024-03-27,แข่งจักรยาน,sports
221,12,2023-11-11,งาน Tech Conference,convention
222,13,2023-11-20,เทศกาลของหวาน,food_festival
223,8,2024-04-08,เวียนเทียน,cultural
224,20,2023-05-12,เวียนเทียน,cultural
225,11,2024-12-02,ตลาดสดเช้า,market
226,12,2023-04-17,คอนเสิร์ตนักศึกษา,concert
227,19,2024-07-13,ตลาดสดเช้า,market
228,16,2024-08-05,เทศกาลลอยกระทง,cultural
229,14,2023-04-04,งาน Startup Expo,convention
230,1,2024-11-18,เทศกาลแจ๊ส,music_festival
231,4,2024-06-08,เทศกาลเบียร์คราฟท์,food_festival
232,1,2023-05-30,เทศกาลกาแฟ,food_festival
233,19,2023-11-11,ตลาดนัดวินเทจ,market
234,19,2024-10-02,เทศกาลเบียร์คราฟท์,food_festival
235,6,2023-04-21,งานวัดประจำปี,cultural
236,6,2023-01-22,งานดนตรีกลางแจ้ง,music_festival
237,14,2024-02-24,เทศกาลแจ๊ส,music_festival
238,9,2024-06-22,มหกรรมหนังสือ,book_fair
239,17,2024-03-20,ถนนคนเดิน,market
240,6,2024-10-14,เทศกาลเบียร์คราฟท์,food_festival
241,9,2023-05-12,เทศกาลอาหาร,food_festival
242,14,2023-04-29,เทศกาลของหวาน,food_festival
243,4,2024-05-23,ถนนคนเดิน,market
244,3,2024-03-14,งาน Busking,concert
245,8,2023-08-05,เทศกาลของหวาน,food_festival
246,12,2024-07-02,งาน Tech Conference,convention
247,16,2024-01-01,งาน Auto Expo,convention
248,2,2024-12-08,ตลาดสดเช้า,market
249,17,2023-03-23,ตลาดสดเช้า,market
250,6,2024-04-02,ตลาดสดเช้า,market
251,18,2024-07-06,คอนเสิร์ตนักศึกษา,concert
252,1,2023-06-20,เทศกาลสงกรานต์ท้องถิ่น,cultural
253,18,2024-04-08,แข่งวิ่ง Fun Run,sports
254,10,2023-12-20,งานโยคะในสวน,sports
255,17,2024-04-14,มิวสิคเฟสติวัล,music_festival
256,13,2023-06-06,งาน Startup Expo,convention
257,13,2023-04-24,งานบวช,cultural
258,18,2023-02-28,ถนนคนเดิน,market
259,8,2023-09-09,งานบวช,cultural
260,1,2023-05-04,งานโยคะในสวน,sports
261,19,2023-11-04,งาน Job Fair,convention
262,7,2023-06-28,ตลาดนัดวันหยุด,market
263,3,2023-11-27,งาน Busking,concert
264,12,2023-09-25,เทศกาลอาหาร,food_festival
265,4,2024-05-05,ตลาดนัดกลางคืน,market
266,17,2023-03-19,งานวัดประจำปี,cultural
267,5,2024-08-17,สัปดาห์หนังสือ,book_fair
268,1,2023-09-26,มิวสิคเฟสติวัล,music_festival
269,5,2024-07-19,ตลาดนัดกลางคืน,market
270,3,2024-05-12,งาน Startup Expo,convention
271,3,2024-10-03,ถนนคนเดิน,market
272,18,2023-11-11,ตลาดนัดวินเทจ,market
273,1,2023-09-29,ตลาดสดเช้า,market
274,13,2023-02-20,นิทรรศการศิลปะ,convention
275,17,2024-07-31,ตลาดนัดชุมชน,market
276,8,2023-08-11,งาน Auto Expo,convention
277,6,2024-12-07,เทศกาลกาแฟ,food_festival
278,1,2024-11-19,นิทรรศการหนังสือ,book_fair
279,5,2024-02-20,แข่งวิ่ง Fun Run,sports
280,9,2024-08-19,เทศกาลอาหาร,food_festival
281,14,2023-09-01,งานดนตรีสด,concert
282,12,2024-02-18,เทศกาลผลไม้,food_festival
283,11,2024-04-02,งาน Tech Conference,convention
284,12,2023-02-07,ถนนคนเดิน,market
285,10,2023-03-10,ตลาดนัดชุมชน,market
286,9,2023-04-11,งาน Job Fair,convention
287,20,2023-02-06,งาน Book Fair,book_fair
288,12,2023-11-20,เทศกาลอินดี้,music_festival
289,1,2023-04-05,เทศกาลลอยกระทง,cultural
290,7,2023-08-26,แข่งจักรยาน,sports
291,14,2024-08-06,เทศกาลเบียร์คราฟท์,food_festival
292,14,2023-09-05,งานวัดประจำปี,cultural
293,8,2024-05-21,เทศกาลลอยกระทง,cultural
294,18,2024-11-14,สวดมนต์ข้ามปี,cultural
295,11,2023-05-27,เทศกาลอินดี้,music_festival
296,16,2024-10-11,นิทรรศการหนังสือ,book_fair
297,8,2023-03-19,งานหนังสือเก่า,book_fair
298,9,2023-11-11,เทศกาลสงกรานต์ท้องถิ่น,cultural
299,18,2024-04-11,แข่งวิ่ง Fun Run,sports
300,17,2024-06-04,มหกรรมหนังสือ,book_fair
301,9,2024-11-08,คอนเสิร์ตในสวน,concert
302,10,2023-08-04,ตลาดนัดกลางคืน,market
303,1,2024-10-14,เทศกาลผลไม้,food_festival
304,7,2023-01-29,งาน Street Food,food_festival
305,18,2023-05-22,งาน Street Food,food_festival
306,4,2023-06-19,งาน Tech Conference,convention
307,13,2023-10-20,งานวันเด็ก,cultural
308,1,2023-11-27,มิวสิคเฟสติวัล,music_festival
309,15,2023-01-13,งานวันเด็ก,cultural
310,16,2024-12-28,เทศกาลดนตรี,music_festival
311,17,2023-11-29,ตลาดนัดกลางคืน,market
312,12,2024-05-07,ตลาดนัดวินเทจ,market
313,8,2023-02-06,ตลาดนัดกลางคืน,market
314,3,2023-06-02,เทศกาลเบียร์คราฟท์,food_festival
315,7,2023-02-27,คอนเสิร์ตการกุศล,concert
316,5,2023-01-03,เทศกาลลอยกระทง,cultural
317,2,2023-09-05,งานวันเด็ก,cultural
318,11,2024-10-22,เทศกาลกาแฟ,food_festival
319,16,2023-04-09,เทศกาลสงกรานต์ท้องถิ่น,cultural
320,18,2023-01-18,เทศกาลของหวาน,food_festival
321,10,2024-07-18,มหกรรมหนังสือ,book_fair
322,2,2023-08-30,ตลาดสดเช้า,market
323,16,2024-01-13,ตลาดนัดวินเทจ,market
324,11,2024-06-19,เทศกาลกาแฟ,food_festival
325,7,2023-09-17,คอนเสิร์ตในสวน,concert
326,6,2023-04-07,งานวันเด็ก,cultural
327,6,2023-11-17,กีฬาสี,sports
328,17,2024-05-28,ถนนคนเดิน,market
329,7,2024-07-11,งาน Street Food,food_festival
330,5,2024-02-28,ตลาดนัดวันหยุด,market
331,1,2023-12-19,ตลาดนัดวันหยุด,market
332,3,2023-06-11,ตลาดสดเช้า,market
333,11,2023-08-21,งาน Tech Conference,convention
334,12,2024-07-16,สัปดาห์หนังสือ,book_fair
335,12,2023-03-07,เทศกาลอาหาร,food_festival
336,7,2023-07-04,เทศกาลกาแฟ,food_festival
337,19,2023-11-14,สวดมนต์ข้ามปี,cultural
338,10,2023-06-02,งานดนตรีกลางแจ้ง,music_festival
339,3,2023-10-22,ตลาดนัดกลางคืน,market
340,18,2024-11-09,นิทรรศการศิลปะ,convention
341,19,2024-09-04,นิทรรศการหนังสือ,book_fair
342,5,2024-11-01,มิวสิคเฟสติวัล,music_festival
343,18,2023-05-21,เทศกาลเบียร์คราฟท์,food_festival
344,11,2024-03-28,งานวันเด็ก,cultural
345,19,2023-12-30,ตลาดนัดวันหยุด,market
346,15,2023-07-19,มหกรรมหนังสือ,book_fair
347,2,2024-09-30,กีฬาสี,sports
348,10,2024-10-28,สัปดาห์หนังสือ,book_fair
349,11,2023-03-04,งานหนังสือเก่า,book_fair
350,6,2023-06-28,เทศกาลเบียร์คราฟท์,food_festival
351,19,2023-02-04,สวดมนต์ข้ามปี,cultural
352,9,2023-11-20,งาน Street Food,food_festival
353,19,2023-01-03,งานบวช,cultural
354,13,2024-08-31,ถนนคนเดิน,market
355,6,2024-06-02,งานบวช,cultural
356,5,2024-08-09,แข่งจักรยาน,sports
357,13,2024-10-11,งาน Job Fair,convention
358,8,2024-03-05,งานบวช,cultural
359,11,2023-04-14,เทศกาลผลไม้,food_festival
360,4,2023-05-09,งานดนตรีสด,concert
361,19,2023-12-28,สวดมนต์ข้ามปี,cultural
362,3,2024-06-15,นิทรรศการศิลปะ,convention
363,11,2024-04-03,กีฬาสี,sports
